Date,Weekday numeric,,Open,High,Low,Close,Adj Close,Volume,,,,,
5/27/2020,4,FALSE,302.119995,303.570007,296.869995,303.529999,289.946594,104817400,,,,,
5/28/2020,5,fix^,304.649994,306.839996,302.23999,302.970001,289.411743,90405200,,,,,
5/29/2020,6,,302.459991,304.959991,299.470001,304.320007,290.701263,119090800,,,,,
6/1/2020,2,,303.619995,306.209991,303.059998,305.549988,291.87619,55758300,,,,,
6/2/2020,3,,306.549988,308.130005,305.100006,308.079987,294.292999,74267200,,,,,
6/3/2020,4,,310.23999,313.220001,309.940002,312.179993,298.209503,92567600,,,,,
6/4/2020,5,,311.109985,313,309.079987,311.359985,297.426178,75794400,,,,,
6/5/2020,6,,317.230011,321.269989,317.160004,319.339996,305.049042,150524700,,,,,
6/8/2020,2,,320.220001,323.410004,319.630005,323.200012,308.736359,73641200,,,,,
6/9/2020,3,,320.299988,323.279999,319.359985,320.790009,306.434204,77479200,,,,,
6/10/2020,4,,321.420013,322.390015,318.220001,319,304.724304,95000800,,,,,
6/11/2020,5,,311.459991,312.149994,300.01001,300.609985,287.157318,209243600,,,,,
6/12/2020,6,,308.23999,309.079987,298.600006,304.209991,290.596191,194678900,,,,,
6/15/2020,2,,298.019989,308.279999,296.73999,307.049988,293.309082,135782700,,,,,
6/16/2020,3,,315.480011,315.640015,307.670013,312.959991,298.95459,137627500,,,,,
6/17/2020,4,,314.070007,314.390015,310.859985,311.660004,297.71283,83398900,,,,,
6/18/2020,5,,310.01001,312.299988,309.51001,311.779999,297.827393,80828700,,,,,
6/19/2020,6,,314.170013,314.380005,306.529999,308.640015,296.125366,135549600,,,,,
6/22/2020,2,,307.98999,311.049988,306.75,310.619995,298.025055,74649400,,,,,
6/23/2020,3,,313.48999,314.5,311.609985,312.049988,299.397064,68471200,,,,,
6/24/2020,4,,309.839996,310.51001,302.100006,304.089996,291.759857,132813500,,,,,
6/25/2020,5,,303.470001,307.640015,301.279999,307.350006,294.887665,89468000,,,,,
6/26/2020,6,,306.160004,306.390015,299.420013,300.049988,287.883636,127961000,,,,,
6/29/2020,2,,301.410004,304.609985,298.929993,304.459991,292.114807,79773300,,,,,
6/30/2020,3,,303.98999,310.200012,303.820007,308.359985,295.856689,113394800,,,,,
7/1/2020,4,,309.570007,311.890015,309.070007,310.519989,297.929108,72396500,,,,,
7/2/2020,5,,314.23999,315.700012,311.51001,312.230011,299.569794,69344200,,,,,
7/6/2020,2,,316.369995,317.679993,315.559998,317.049988,304.194336,61713800,,,,,
7/7/2020,3,,315.380005,317.519989,313.369995,313.779999,301.056915,82910000,,,,,
7/8/2020,4,,314.609985,316.299988,312.700012,316.179993,303.359558,54638600,,,,,
7/9/2020,5,,316.839996,317.100006,310.679993,314.380005,301.632599,83354200,,,,,
7/10/2020,6,,314.309998,317.880005,312.76001,317.589996,304.712433,57550400,,,,,
7/13/2020,2,,320.130005,322.709991,314.130005,314.839996,302.073975,102997500,,,,,
7/14/2020,3,,313.299988,319.76001,312,318.920013,305.988495,93657000,,,,,
7/15/2020,4,,322.410004,323.040009,319.269989,321.850006,308.799683,87196500,,,,,
7/16/2020,5,,319.790009,321.279999,319.089996,320.790009,307.782654,54622500,,,,,
7/17/2020,6,,321.880005,322.570007,319.73999,321.720001,308.675018,62774900,,,,,
7/20/2020,2,,321.429993,325.130005,320.619995,324.320007,311.169556,56308800,,,,,
7/21/2020,3,,326.450012,326.929993,323.940002,325.01001,311.831604,57292200,,,,,
7/22/2020,4,,324.619995,327.200012,324.5,326.859985,313.606567,57792900,,,,,
7/23/2020,5,,326.470001,327.230011,321.480011,322.959991,309.864746,75738000,,,,,
7/24/2020,6,,320.950012,321.98999,319.25,320.880005,307.869049,73766600,,,,,
7/27/2020,2,,321.630005,323.410004,320.769989,323.220001,310.114166,48293000,,,,,
7/28/2020,3,,322.429993,323.640015,320.850006,321.170013,308.147308,57495000,,,,,
7/29/2020,4,,322.119995,325.730011,322.079987,325.119995,311.937134,48454200,,,,,
7/30/2020,5,,321.899994,324.410004,319.640015,323.959991,310.824158,61861700,,,,,
7/31/2020,6,,325.899994,326.630005,321.329987,326.519989,313.280304,84986800,,,,,
8/3/2020,2,,328.320007,329.619995,327.730011,328.790009,315.458344,53077900,,,,,
8/4/2020,3,,327.859985,330.059998,327.859985,330.059998,316.676849,41917900,,,,,
8/5/2020,4,,331.470001,332.390015,331.179993,332.109985,318.643677,42697700,,,,,
8/6/2020,5,,331.480011,334.459991,331.130005,334.329987,320.773651,43679400,,,,,
8/7/2020,6,,333.279999,334.880005,332.299988,334.570007,321.003937,57308300,,,,,
8/10/2020,2,,335.059998,335.769989,332.959991,335.570007,321.963379,44282100,,,,,
8/11/2020,3,,336.850006,337.540009,332.01001,332.799988,319.305725,69601100,,,,,
8/12/2020,4,,335.440002,338.279999,335.410004,337.440002,323.757568,53774400,,,,,
8/13/2020,5,,336.609985,338.25,335.829987,336.829987,323.172302,41816100,,,,,
8/14/2020,6,,336.410004,337.420013,335.619995,336.839996,323.181915,47260400,,,,,
8/17/2020,2,,337.940002,338.339996,336.850006,337.910004,324.208496,35481000,,,,,
8/18/2020,3,,338.339996,339.100006,336.609985,338.640015,324.908997,38733900,,,,,
8/19/2020,4,,339.049988,339.609985,336.619995,337.230011,323.556091,68054200,,,,,
8/20/2020,5,,335.359985,338.799988,335.220001,338.279999,324.563507,42207800,,,,,
8/21/2020,6,,337.920013,339.720001,337.549988,339.480011,325.714874,55106600,,,,,
8/24/2020,2,,342.119995,343,339.450012,342.920013,329.01535,48588700,,,,,
8/25/2020,3,,343.529999,344.209991,342.269989,344.119995,330.166748,38463400,,,,,
8/26/2020,4,,344.76001,347.859985,344.170013,347.570007,333.476837,50790200,,,,,
8/27/2020,5,,348.51001,349.899994,346.529999,348.329987,334.205963,58034100,,,,,
8/28/2020,6,,349.440002,350.720001,348.149994,350.579987,336.364777,48588900,,,,,
8/31/2020,2,,350.350006,351.299988,349.059998,349.309998,335.146301,66099200,,,,,
9/1/2020,3,,350.209991,352.709991,349.23999,352.600006,338.302887,54908700,,,,,
9/2/2020,4,,354.670013,358.75,353.429993,357.700012,343.196075,69540000,,,,,
9/3/2020,5,,355.869995,356.380005,342.589996,345.390015,331.385254,148011100,,,,,
9/4/2020,6,,346.130005,347.829987,334.869995,342.570007,328.679596,139156300,,,,,
9/8/2020,3,,336.709991,342.640015,332.880005,333.209991,319.699036,114465300,,,,,
9/9/2020,4,,337.549988,342.459991,336.609985,339.790009,326.012299,91462300,,,,,
9/10/2020,5,,341.820007,342.529999,332.850006,333.890015,320.351532,90569500,,,,,
9/11/2020,6,,335.820007,336.970001,331,334.059998,320.514618,84680200,,,,,
9/14/2020,2,,337.48999,340.380005,334.220001,338.459991,324.736206,65605700,,,,,
9/15/2020,3,,341.119995,342.019989,338.470001,340.170013,326.376862,52920900,,,,,
9/16/2020,4,,341.51001,343.059998,338.519989,338.820007,325.081635,82096000,,,,,
9/17/2020,5,,333.559998,337.700012,332.98999,335.839996,322.222443,91523300,,,,,
9/18/2020,6,,335.369995,335.48999,327.970001,330.649994,318.512787,105877900,,,,,
9/21/2020,2,,325.700012,327.130005,321.730011,326.970001,314.967865,99450800,,,,,
9/22/2020,3,,328.570007,330.899994,325.859985,330.299988,318.175629,63612100,,,,,
9/23/2020,4,,330.899994,331.200012,322.100006,322.640015,310.796844,93112200,,,,,
